Device,G_Swap_Total,G_Swap_Free,G_Swap_Used,G_Proc_Run,G_Cpu_User,G_Cpu_Wio,G_Load_One,G_Load,G_Five,G_Load_Fifteen,G_Mem_Cached,G_Mem_Total,T_State,T_Slots,T_SlotsUsed,T_AvailMem(MB),T_TotalMem(MB)/Swap,T_Time_Last_Rec,T_LoadAve ,T_NetLoad(MB)
compute-2-39,10061.0,9734.92,326.08,2.0,51.0,0.2,2.06,2.09,202940.0,8255316.0,481.606,433.868,2,4,4,10122.44,18122.83,32.07,2.02,777316.02
compute-2-36,10061.0,9933.01,127.99,2.0,69.5,0.2,2.06,1.53,2157664.0,8255316.0,481.606,432.618,2,4,4,12232.75,18122.83,23.07,2.40,1553822.95
compute-2-37,10061.0,10007.47,53.53,4.0,96.2,1.5,4.15,4.04,3694416.0,8255316.0,481.606,436.028,2,4,4,16037.43,18122.83,34.07,4.19,626164.07
compute-2-34,10061.0,9952.68,108.32,2.0,67.3,1.8,2.54,2.38,3223924.0,8255316.0,481.606,433.508,2,4,4,13301.89,18122.83,29.07,2.53,910470.78
compute-2-35,10061.0,10001.45,59.54,5.0,77.7,1.5,3.76,3.78,4486024.0,8255316.0,481.606,435.863,2,4,4,16501.86,18122.83,34.07,3.44,914285.08
compute-2-32,10061.0,9276.69,784.31,2.0,73.7,0.9,3.11,3.09,3410748.0,8255316.0,481.606,433.113,2,4,4,13251.07,18122.83,33.07,3.02,904247.99
compute-2-33,10061.0,9845.29,215.71,3.0,68.1,0.6,3.15,3.09,1915964.0,8255316.0,481.606,433.667,2,4,4,12384.76,18122.83,27.07,3.15,917466.59
compute-2-30,10061.0,9880.86,180.14,3.0,73.1,1.3,3.12,3.09,2744804.0,8255316.0,481.606,434.164,2,4,4,13974.88,18122.83,30.07,3.07,1094732.61
compute-6-32,10061.0,10003.13,57.87,5.0,83.6,0.4,3.0,2.71,4783440.0,8255316.0,481.606,433.553,2,4,4,14873.29,18122.83,28.07,3.15,1003346.47
compute-6-33,10061.0,9778.23,282.77,2.0,48.8,0.9,1.89,1.78,2938156.0,8255316.0,481.606,434.629,2,4,4,13417.63,18122.83,27.07,2.08,982403.91
compute-6-30,10061.0,9666.73,394.27,1.0,61.2,0.6,2.15,2.1,1711960.0,8255316.0,481.606,433.689,2,4,4,12703.6,18122.83,30.07,2.12,984424.74
compute-6-36,10061.0,10002.64,58.36,3.0,95.3,1.4,4.1,3.84,5582880.0,8255316.0,481.606,435.01,2,4,4,15846.67,18122.83,30.07,4.26,904016.73
compute-6-37,10061.0,10061.0,0.0,0.0,0.0,0.0,0.0,0.0,1674076.0,8255316.0,481.606,452.42,4,4,0,17831.48,18122.83,17.07,0.00,1155.92
compute-6-34,10061.0,9993.99,67.0,4.0,96.1,1.0,4.12,3.91,5181164.0,8255316.0,481.606,435.265,2,4,4,15964.52,18122.83,32.07,4.22,1137945.57
compute-6-35,10061.0,10005.31,55.69,3.0,94.0,1.2,3.95,3.81,4683416.0,8255316.0,481.606,434.841,2,4,4,15319.27,18122.83,26.07,4.03,1187106.22
compute-6-38,10061.0,8398.34,1662.66,3.0,87.6,0.3,3.44,3.43,2071200.0,8255316.0,481.606,434.483,1,4,3,11882.93,18122.83,27.07,3.31,858880.02
compute-6-39,10061.0,9017.32,1043.67,4.0,93.9,0.0,3.94,3.91,1158568.0,8255316.0,481.606,431.35,2,4,4,10415.75,18122.83,26.07,3.85,1003743.34
compute-13-8,10061.0,9214.39,846.6,2.0,49.3,0.2,1.87,1.82,3573056.0,8255316.0,481.606,434.348,2,4,4,13186.64,18122.83,24.07,2.10,833510.1
compute-13-7,10061.0,9426.81,634.19,4.0,98.4,0.1,3.89,3.89,3301624.0,8255316.0,481.606,434.544,2,4,4,13077.25,18122.83,25.07,3.96,700885.77
compute-13-3,10061.0,9878.71,182.28,2.0,50.8,1.1,2.44,2.44,2848208.0,8255316.0,481.606,434.813,2,4,4,14199.64,18122.83,20.07,2.34,932805.12
compute-14-27,10061.0,10013.32,47.68,2.0,66.6,1.4,2.91,2.69,4326572.0,8255316.0,481.606,435.539,2,4,4,15669.55,18122.83,31.07,3.07,1042486.62
compute-14-26,10061.0,9998.44,62.55,3.0,72.7,1.2,3.1,2.79,4661048.0,8255316.0,481.606,433.266,2,4,4,15239.36,18122.83,32.07,3.05,1009069.67
compute-14-25,10061.0,9980.48,80.52,2.0,65.4,0.9,2.44,2.21,4374760.0,8255316.0,481.606,431.735,2,4,4,14456.54,18122.83,28.07,2.45,1073858.05
compute-14-24,10061.0,9995.03,65.96,3.0,72.6,1.5,2.57,2.36,4412076.0,8255316.0,481.606,433.24,2,4,4,14557.11,18122.83,31.07,3.07,1130582.19
compute-14-23,10061.0,9990.69,70.31,3.0,96.5,0.7,3.81,3.51,4266624.0,8255316.0,481.606,434.198,2,4,4,14392.56,18122.83,23.07,4.07,1021701.59
compute-14-36,10061.0,10006.96,54.03,5.0,96.1,1.0,3.75,3.32,5278556.0,8255316.0,973.856,901.701,2,4,4,15638.19,18122.83,28.07,4.11,1017367.99
compute-14-29,10061.0,9986.78,74.21,2.0,49.0,0.9,1.97,1.71,3585952.0,8255316.0,481.606,435.467,2,4,4,13722.71,18122.83,28.07,2.24,906873.68
compute-14-28,10061.0,9930.8,130.19,2.0,42.5,0.2,1.37,1.17,3439120.0,8255316.0,481.606,432.945,2,4,4,13481.25,18122.83,30.07,1.56,1113981.09
compute-14-39,10061.0,9776.74,284.25,3.0,96.5,0.3,3.61,3.31,3602520.0,8255316.0,727.73,667.712,2,4,4,13466.29,18122.83,33.07,4.00,973924.39
compute-5-2,10061.0,10004.86,56.14,2.0,78.6,0.7,2.95,2.9,4527176.0,8255316.0,481.606,433.977,2,4,4,15224.43,18122.83,22.07,3.15,966361.41
compute-13-39,10061.0,9989.41,71.59,3.0,71.1,1.2,2.99,2.81,3645884.0,8255316.0,481.606,435.756,2,4,4,15554.16,18122.83,16.07,2.97,848594.25
compute-13-38,10061.0,9949.94,111.06,4.0,86.5,0.2,3.86,3.72,2370552.0,8255316.0,481.606,432.884,2,4,4,12691.42,18122.83,16.07,3.93,865693.97
compute-13-35,10061.0,9881.58,179.41,1.0,32.9,0.9,2.32,2.5,2455776.0,8255316.0,481.606,435.598,1,4,3,14115.56,18122.83,25.07,1.59,980281.89
compute-13-34,10061.0,9886.38,174.61,3.0,77.2,0.2,3.35,3.54,2342604.0,8255316.0,481.606,433.043,2,4,4,13662.36,18122.83,28.07,3.29,831649.83
compute-13-37,10061.0,9999.73,61.27,4.0,82.9,0.7,2.97,2.65,4750124.0,8255316.0,481.606,433.647,2,4,4,15735.52,18122.83,30.07,3.24,1010981.68
compute-13-36,10061.0,9984.43,76.56,3.0,46.8,0.5,1.64,1.8,3787284.0,8255316.0,481.606,434.694,2,4,4,15440.17,18122.83,25.07,1.86,1032584.06
compute-13-30,10061.0,9959.92,101.08,4.0,94.1,0.2,3.79,3.71,3204244.0,8255316.0,481.606,433.686,2,4,4,15320.16,18122.83,16.07,3.94,867284.22
compute-13-33,10061.0,9388.09,672.9,3.0,66.0,3.2,2.73,2.71,2171652.0,8255316.0,481.606,432.228,2,4,4,12660.2,18122.83,25.07,2.97,964592.72
compute-13-32,10061.0,9904.59,156.4,2.0,66.0,1.5,3.04,3.04,3983680.0,8255316.0,481.606,434.654,2,4,4,14251.48,18122.83,29.07,2.63,1119027.18
compute-6-3,10061.0,9883.61,177.39,3.0,73.8,0.2,2.74,2.7,2397488.0,8255316.0,481.606,434.961,2,4,4,12892.43,18122.83,29.07,2.92,1096097.67
compute-13-40,10061.0,9958.18,102.82,0.0,27.7,0.2,0.91,0.78,2884648.0,8255316.0,481.606,433.207,2,4,4,13033.43,18122.83,43.07,1.01,921374.92
