Device,G_Swap_Total,G_Swap_Free,G_Swap_Used,G_Proc_Run,G_Cpu_User,G_Cpu_Wio,G_Load_One,G_Load,G_Five,G_Load_Fifteen,G_Mem_Cached,G_Mem_Total,T_State,T_Slots,T_SlotsUsed,T_AvailMem(MB),T_TotalMem(MB)/Swap,T_Time_Last_Rec,T_LoadAve ,T_NetLoad(MB)
compute-14-30,10061.0,10001.32,59.68,3.0,66.5,0.6,2.42,2.19,4331324.0,8255316.0,973.856,899.736,2,4,4,14440.52,18122.83,28.07,2.39,1057480.72
compute-5-8,10061.0,9155.39,905.61,3.0,65.8,0.6,3.1,3.09,1264336.0,8255316.0,481.606,434.148,2,4,4,11128.28,18122.83,29.07,3.10,1018779.47
compute-14-32,10061.0,9920.79,140.2,3.0,51.5,0.2,1.91,1.74,2897280.0,8255316.0,481.606,434.685,2,4,4,12850.54,18122.83,28.07,2.00,1128275.47
compute-14-33,10061.0,9902.66,158.34,3.0,66.3,0.6,2.39,2.16,4009024.0,8255316.0,481.606,432.147,2,4,4,14031.11,18122.83,28.07,2.68,1086098.35
compute-14-34,10061.0,9990.33,70.66,2.0,60.2,0.1,2.29,2.09,3070176.0,8255316.0,481.606,432.921,2,4,4,14158.86,18122.83,28.07,2.43,1209059.0
compute-14-35,10061.0,9417.01,643.98,3.0,67.3,0.6,2.27,2.1,2629760.0,8255316.0,481.606,431.408,2,4,4,12172.02,18122.83,31.07,2.33,1060041.4
compute-14-37,10061.0,10004.12,56.88,4.0,96.2,0.7,4.11,3.74,5133440.0,8255316.0,481.606,434.785,2,4,4,15389.86,18122.83,30.07,4.47,945683.02
compute-14-38,10061.0,9995.97,65.02,5.0,97.5,0.2,3.88,3.53,4566188.0,8255316.0,481.606,434.837,2,4,4,14635.91,18122.83,33.07,4.12,1038742.99
compute-5-3,10061.0,10003.61,57.38,2.0,54.5,2.6,2.0,1.71,2925888.0,8255316.0,481.606,434.389,2,4,4,14492.47,18122.83,24.07,2.49,787350.93
compute-5-5,10061.0,10005.24,55.76,4.0,96.5,0.5,3.88,3.36,4330240.0,8255316.0,481.606,433.223,2,4,4,16762.13,18122.83,24.07,4.25,1161280.35
compute-5-7,10061.0,9815.37,245.63,3.0,69.3,1.7,3.22,3.02,2961704.0,8255316.0,481.606,433.537,2,4,4,13495.39,18122.83,25.07,3.35,893990.88
compute-5-6,10061.0,9857.24,203.75,2.0,66.1,1.2,2.29,2.14,3548176.0,8255316.0,481.606,434.219,2,4,4,13980.17,18122.83,27.07,2.77,1018044.42
compute-6-2,10061.0,9991.3,69.7,3.0,69.5,0.2,3.32,3.15,2357768.0,8255316.0,481.606,424.446,2,4,4,12518.01,18122.83,29.07,2.86,1060789.56
compute-6-1,10061.0,9688.63,372.37,2.0,59.9,0.2,2.08,2.03,1522416.0,8255316.0,481.606,434.254,2,4,4,11388.73,18122.83,30.07,2.34,935475.34
compute-6-6,10061.0,10004.52,56.48,3.0,57.7,0.9,2.98,2.89,3093372.0,8255316.0,481.606,434.102,2,4,4,13831.72,18122.83,33.07,2.49,1008419.35
compute-6-7,10061.0,9987.74,73.25,3.0,66.7,1.6,3.18,2.95,3597484.0,8255316.0,481.606,434.658,2,4,4,15231.55,18122.83,33.07,2.82,1148918.92
compute-6-4,10061.0,9999.13,61.86,3.0,73.7,1.1,2.89,2.7,4794500.0,8255316.0,481.606,434.873,2,4,4,16042.06,18122.83,31.07,3.18,1321812.05
compute-6-5,10061.0,9456.64,604.36,5.0,92.0,4.0,3.67,3.45,3236096.0,8255316.0,481.606,433.566,2,4,4,12902.07,18122.83,19.07,4.45,927756.38
compute-6-8,10061.0,9943.78,117.22,4.0,54.5,1.5,2.02,1.95,3798228.0,8255316.0,481.606,434.848,2,4,4,14023.76,18122.83,28.07,1.94,1133312.97
compute-13-28,10061.0,9230.88,830.12,3.0,71.2,0.7,2.94,2.85,2667736.0,8255316.0,481.606,434.443,2,4,4,12689.19,18122.83,16.07,2.81,953206.49
compute-13-29,10061.0,9710.22,350.78,2.0,65.3,0.1,2.68,2.53,2026836.0,8255316.0,481.606,430.365,2,4,4,12048.27,18122.83,23.07,2.94,932426.85
compute-13-26,10061.0,9930.61,130.39,1.0,24.5,0.7,1.52,1.71,2628408.0,8255316.0,481.606,433.291,2,4,4,14064.63,18122.83,6.07,1.46,1104343.19
compute-13-27,10061.0,9998.89,62.11,0.0,50.3,0.1,2.0,2.09,3700728.0,8255316.0,481.606,434.166,2,4,4,15422.84,18122.83,31.07,2.27,923135.38
compute-13-24,10061.0,9253.48,807.51,3.0,67.7,1.2,3.04,3.08,2846448.0,8255316.0,481.606,436.336,2,4,4,14166.42,18122.83,20.07,3.03,834663.06
